"varname","term","estimate","std.error","df","t.value","p.value","sigma","logLik","BIC","deviance","R2m","R2c","nfix","nparam","modname","modname2","modelformula","randompart","valuecol","var0","var1","var2","var3","varint1","varint2","varint3","nobs","AICc","modname3","AICcdiff"
"Clad","days_since_iceout",64,23,152,2.751,0.0067,8345,-1821,3663,3642,0.04131,0.08113,2,2,"Clad_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","","1","","","","","",154,3647,"vari1",1027
"Clad","(Intercept)",12000,4000,153,3.022,0.0029,8437,-1832,3685,3664,0.03417,0.05332,2,2,"Clad_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","0","","","","","","",154,3668,"vari1",1048
"Clad","iceout_doy",-52,21,153,-2.458,0.015,8437,-1832,3685,3664,0.03417,0.05332,2,2,"Clad_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","","1","","","","","",154,3668,"vari1",1048
"Clad","(Intercept)",5600,1700,153,3.388,9e-04,8418,-1833,3686,3665,0.02721,0.06044,2,2,"Clad_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","0","","","","","","",154,3669,"vari1",1049
"Clad","SWE",-21,9.8,153,-2.139,0.034,8418,-1833,3686,3665,0.02721,0.06044,2,2,"Clad_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","","1","","","","","",154,3669,"vari1",1049
"Cond","(Intercept)",88,38,138,2.351,0.02,72.96,-922.1,1864,1844,0.009203,0.1527,2,2,"Cond_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","0","","","","","","",160,1848,"vari1",0
"Cond","iceout_doy",-0.24,0.2,138,-1.248,0.21,72.96,-922.1,1864,1844,0.009203,0.1527,2,2,"Cond_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","","1","","","","","",160,1848,"vari1",0
"Cond","(Intercept)",49,12,139,4.001,1e-04,73.12,-922.5,1865,1845,0.007388,0.1537,2,2,"Cond_Volume_m3","vari1","value_formodel ~ Volume_m3","~1 | park_site","value","0","","","","","","",160,1849,"vari1",1
"Cond","volume",-7.8e-05,1e-04,19,-0.7701,0.45,73.12,-922.5,1865,1845,0.007388,0.1537,2,2,"Cond_Volume_m3","vari1","value_formodel ~ Volume_m3","~1 | park_site","value","","1","","","","","",160,1849,"vari1",1
"Cond","(Intercept)",51,17,138,3.065,0.0026,73.25,-922.7,1866,1845,0.002317,0.1465,2,2,"Cond_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","0","","","","","","",160,1849,"vari1",1
"Cond","SWE",-0.054,0.092,138,-0.5865,0.56,73.25,-922.7,1866,1845,0.002317,0.1465,2,2,"Cond_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","","1","","","","","",160,1849,"vari1",1
"Cond","(Intercept)",54,31,139,1.744,0.083,73.11,-922.8,1866,1846,0.001865,0.1545,2,2,"Cond_hydro","vari1","value_formodel ~ hydro","~1 | park_site","value","0","","","","","","",160,1850,"vari1",2
"Cond","hydro",-5,13,19,-0.3758,0.71,73.11,-922.8,1866,1846,0.001865,0.1545,2,2,"Cond_hydro","vari1","value_formodel ~ hydro","~1 | park_site","value","","1","","","","","",160,1850,"vari1",2
"Cond","(Intercept)",45,14,138,3.162,0.0019,73.11,-922.8,1866,1846,0.0001582,0.1543,2,2,"Cond_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","0","","","","","","",160,1850,"vari1",2
"Cond","days_since_iceout",-0.036,0.21,138,-0.1682,0.87,73.11,-922.8,1866,1846,0.0001582,0.1543,2,2,"Cond_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","","1","","","","","",160,1850,"vari1",2
"Cope","(Intercept)",3000,1100,116,2.708,0.0078,3515,-1349,2718,2698,0.08339,0.6753,2,2,"Cope_Chl","vari1","value_formodel ~ Chl","~1 | park_site","value","0","","","","","","",154,2702,"vari1",246
"Cope","Chl",2000,410,116,4.854,3.8e-06,3515,-1349,2718,2698,0.08339,0.6753,2,2,"Cope_Chl","vari1","value_formodel ~ Chl","~1 | park_site","value","","1","","","","","",154,2702,"vari1",246
"Cope","(Intercept)",3600,1800,123,2.05,0.043,3621,-1423,2867,2847,9.848e-05,0.6971,2,2,"Cope_Watertemp","vari1","value_formodel ~ Watertemp","~1 | park_site","value","0","","","","","","",154,2851,"vari1",395
"Cope","Watertemp",15,95,123,0.1604,0.87,3621,-1423,2867,2847,9.848e-05,0.6971,2,2,"Cope_Watertemp","vari1","value_formodel ~ Watertemp","~1 | park_site","value","","1","","","","","",154,2851,"vari1",395
"Cope","(Intercept)",2400,1800,132,1.303,0.19,3627,-1510,3040,3020,0.02454,0.6919,2,2,"Cope_Ca","vari1","value_formodel ~ Ca","~1 | park_site","value","0","","","","","","",154,3024,"vari1",568
"Cope","Ca",270,250,132,1.067,0.29,3627,-1510,3040,3020,0.02454,0.6919,2,2,"Cope_Ca","vari1","value_formodel ~ Ca","~1 | park_site","value","","1","","","","","",154,3024,"vari1",568
"Cope","(Intercept)",4300,1400,152,3.128,0.0021,3713,-1708,3437,3417,0.0009089,0.6926,2,2,"Cope_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","0","","","","","","",154,3421,"vari1",965
"Cope","days_since_iceout",-7.3,11,152,-0.689,0.49,3713,-1708,3437,3417,0.0009089,0.6926,2,2,"Cope_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","","1","","","","","",154,3421,"vari1",965
"Cope","(Intercept)",3500,2300,153,1.52,0.13,3706,-1718,3456,3435,0.0001188,0.6943,2,2,"Cope_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","0","","","","","","",154,3440,"vari1",984
"Cope","iceout_doy",2.4,10,153,0.235,0.81,3706,-1718,3456,3435,0.0001188,0.6943,2,2,"Cope_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","","1","","","","","",154,3440,"vari1",984
"Cope","(Intercept)",3900,1500,153,2.614,0.0098,3707,-1718,3456,3436,3.566e-06,0.6933,2,2,"Cope_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","0","","","","","","",154,3440,"vari1",984
"Cope","SWE",0.18,5.1,153,0.03622,0.97,3707,-1718,3456,3436,3.566e-06,0.6933,2,2,"Cope_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","","1","","","","","",154,3440,"vari1",984
"DO","(Intercept)",8.9,0.19,111,47.09,3.4e-75,1.925,-275.8,571.2,551.7,0.0001993,0.0001993,2,2,"DO_Chl","vari1","value_formodel ~ Chl","~1 | park_site","value","0","","","","","","",133,555.8,"vari1",19.8
"DO","Chl",0.03,0.18,111,0.161,0.87,1.925,-275.8,571.2,551.7,0.0001993,0.0001993,2,2,"DO_Chl","vari1","value_formodel ~ Chl","~1 | park_site","value","","1","","","","","",133,555.8,"vari1",19.8
"DO","(Intercept)",11,0.46,143,24.38,8.7e-53,1.879,-338.2,696.7,676.3,0.1224,0.1224,2,2,"DO_Watertemp","vari1","value_formodel ~ Watertemp","~1 | park_site","value","0","","","","","","",133,680.4,"vari1",144.4
"DO","Watertemp",-0.16,0.033,143,-4.754,4.8e-06,1.879,-338.2,696.7,676.3,0.1224,0.1224,2,2,"DO_Watertemp","vari1","value_formodel ~ Watertemp","~1 | park_site","value","","1","","","","","",133,680.4,"vari1",144.4
"DO","(Intercept)",6.1,0.93,143,6.529,1.1e-09,1.926,-343.6,707.6,687.1,0.06489,0.08063,2,2,"DO_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","0","","","","","","",133,691.2,"vari1",155.2
"DO","iceout_doy",0.016,0.0049,143,3.345,0.001,1.926,-343.6,707.6,687.1,0.06489,0.08063,2,2,"DO_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","","1","","","","","",133,691.2,"vari1",155.2
"DO","(Intercept)",10,0.32,143,31.09,1.7e-65,1.928,-343.8,708,687.6,0.0617,0.07772,2,2,"DO_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","0","","","","","","",133,691.7,"vari1",155.7
"DO","days_since_iceout",-0.018,0.0055,143,-3.278,0.0013,1.928,-343.8,708,687.6,0.0617,0.07772,2,2,"DO_days_since_iceout","vari1","value_formodel ~ days_since_iceout","~1 | park_site","value","","1","","","","","",133,691.7,"vari1",155.7
"DO","(Intercept)",8.6,0.38,143,22.63,4e-49,1.987,-347.9,716.3,695.9,0.01227,0.01865,2,2,"DO_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","0","","","","","","",133,699.9,"vari1",163.9
"DO","SWE",0.0032,0.0023,143,1.41,0.16,1.987,-347.9,716.3,695.9,0.01227,0.01865,2,2,"DO_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","","1","","","","","",133,699.9,"vari1",163.9
"ice_out_doy","(Intercept)",170,6.7,156,25.63,8.7e-58,29.26,-851.9,1725,1704,0.03856,0.07742,2,2,"ice_out_doy_solar_dec","vari1","value_formodel ~ solar_dec","~1 | park_site","value","0","","","","","","",177,1708,"vari1",0
"ice_out_doy","solar_dec",0.044,0.019,19,2.308,0.032,29.26,-851.9,1725,1704,0.03856,0.07742,2,2,"ice_out_doy_solar_dec","vari1","value_formodel ~ solar_dec","~1 | park_site","value","","1","","","","","",177,1708,"vari1",0
"ice_out_doy","(Intercept)",160,19,156,8.477,1.6e-14,29.32,-853.3,1727,1707,0.01909,0.07258,2,2,"ice_out_doy_Elevation_m","vari1","value_formodel ~ Elevation_m","~1 | park_site","value","0","","","","","","",177,1711,"vari1",3
"ice_out_doy","Elevation_m",0.018,0.012,19,1.551,0.14,29.32,-853.3,1727,1707,0.01909,0.07258,2,2,"ice_out_doy_Elevation_m","vari1","value_formodel ~ Elevation_m","~1 | park_site","value","","1","","","","","",177,1711,"vari1",3
