"variable","snowyr","model","term","val","std.error","pval","AICc","AICcdiff"
"Cl","lo","2_901","NO3_dep_1985_1989",0.084,0.346,0.809,589,0
"Cl","mid","2_920","NH4_dep_2000_2009",0.748,0.525,0.163,589,0
"Cl","mid","2_901","NH4_dep_1990_1999",0.702,0.555,0.214,589,0
"Cl","mid","2_933","NH4_dep_2000_2009",0.12,0.0948,0.212,589,0
"Cl","mid","2_933","granodiorite",-0.00259,0.00204,0.211,589,0
"Cl","mid","2_920","NO3_dep_1985_2015",-0.102,0.079,0.204,589,0
"Cl","mid","2_901","NO3_dep_1985_1989",-0.142,0.121,0.248,589,0
"Cl","hi","2_1018","NO3_dep_2000_2009",-0.198,0.0493,0.000269,590,1
"Cl","hi","2_1018","granodiorite",0.0209,0.00615,0.00167,590,1
"Cl","hi","2_798","granodiorite",0.0187,0.00593,0.00319,590,1
"Cl","hi","2_892","NH4_dep_1985_1989",-1.21,0.303,0.000284,590,1
"Cl","hi","2_892","granodiorite",0.0163,0.00571,0.00703,590,1
"Cl","hi","2_1068","SO4_dep_1990_1999",-0.0976,0.0239,0.000234,590,1
"Cl","hi","2_1068","granodiorite",0.0161,0.00568,0.00731,590,1
"Cl","hi","2_970","NO3_dep_1985_2015",-0.176,0.0439,0.000292,590,1
"Cl","hi","2_923","NO3_dep_2000_2009",0.799,0.275,0.00612,590,1
"Cl","hi","2_923","NH4_dep_2000_2009",-5.51,1.63,0.0017,590,1
"Cl","hi","2_857","NH4_dep_1985_2015",-6.04,1.83,0.0021,590,1
"Cl","hi","2_1003","NO3_dep_1990_1999",-0.147,0.0365,0.000266,590,1
"Cl","hi","2_1003","granodiorite",0.0205,0.00611,0.00184,590,1
"Cl","hi","2_1045","SO4_dep_1985_2015",-0.118,0.0296,0.000305,590,1
"Cl","hi","2_1045","granodiorite",0.0162,0.00571,0.00718,590,1
"Cl","hi","2_970","granodiorite",0.0209,0.00617,0.00167,590,1
"Cl","hi","2_913","granodiorite",0.0174,0.00578,0.00473,590,1
"Cl","hi","2_913","NH4_dep_1990_1999",-0.828,0.204,0.000242,590,1
"Cl","hi","2_823","granodiorite",0.0193,0.00599,0.00263,590,1
"Cl","hi","2_823","N_dep_2000_2009",-0.496,0.124,0.000292,590,1
"Cl","hi","2_870","NH4_dep_1985_2015",-0.927,0.23,0.000261,590,1
"Cl","hi","2_870","granodiorite",0.0183,0.00587,0.00357,590,1
"Cl","hi","2_987","NO3_dep_1985_1989",-0.186,0.0466,0.000303,590,1
"Cl","hi","2_987","granodiorite",0.02,0.00607,0.00219,590,1
"Cl","hi","2_857","NO3_dep_1985_2015",0.988,0.332,0.00519,590,1
"Cl","hi","2_798","N_dep_1990_1999",-0.361,0.0906,0.00031,590,1
"Cl","lo","2_857","NO3_dep_1985_2015",0.277,0.332,0.409,590,1
"Cl","lo","2_870","granodiorite",0.00343,0.00587,0.563,590,1
"Cl","lo","2_892","granodiorite",0.00361,0.00571,0.531,590,1
"Cl","lo","2_923","NH4_dep_2000_2009",-0.975,1.63,0.553,590,1
"Cl","lo","2_970","NO3_dep_1985_2015",0.0218,0.0439,0.623,590,1
"Cl","lo","2_1068","SO4_dep_1990_1999",0.0115,0.0239,0.635,590,1
"Cl","lo","2_1068","granodiorite",0.00364,0.00568,0.526,590,1
"Cl","lo","2_913","NH4_dep_1990_1999",0.113,0.204,0.582,590,1
"Cl","lo","2_970","granodiorite",0.003,0.00617,0.63,590,1
"Cl","lo","2_913","granodiorite",0.00333,0.00578,0.568,590,1
"Cl","lo","2_1018","NO3_dep_2000_2009",0.0229,0.0493,0.645,590,1
"Cl","lo","2_798","granodiorite",0.00321,0.00593,0.592,590,1
"Cl","lo","2_823","granodiorite",0.00359,0.00599,0.553,590,1
"Cl","lo","2_823","N_dep_2000_2009",0.0425,0.124,0.733,590,1
"Cl","lo","2_1003","granodiorite",0.00282,0.00611,0.648,590,1
"Cl","lo","2_987","NO3_dep_1985_1989",0.0241,0.0466,0.608,590,1
"Cl","lo","2_987","granodiorite",0.00305,0.00607,0.618,590,1
"Cl","lo","2_1045","granodiorite",0.00374,0.00571,0.517,590,1
"Cl","lo","2_870","NH4_dep_1985_2015",0.105,0.23,0.651,590,1
"Cl","lo","2_857","NH4_dep_1985_2015",-1.36,1.83,0.462,590,1
"Cl","lo","2_1003","NO3_dep_1990_1999",0.0213,0.0365,0.563,590,1
"Cl","lo","2_892","NH4_dep_1985_1989",0.145,0.303,0.636,590,1
"Cl","lo","2_923","NO3_dep_2000_2009",0.197,0.275,0.478,590,1
"Cl","lo","2_1045","SO4_dep_1985_2015",0.012,0.0296,0.688,590,1
"Cl","lo","2_1018","granodiorite",0.00311,0.00615,0.617,590,1
"Cl","lo","2_798","N_dep_1990_1999",0.047,0.0906,0.607,590,1
"Cl","mid","2_923","NH4_dep_2000_2009",0.758,0.56,0.185,590,1
"Cl","mid","2_1068","SO4_dep_1990_1999",0.0104,0.00833,0.218,590,1
"Cl","mid","2_1068","granodiorite",-0.00246,0.00201,0.229,590,1
"Cl","mid","2_970","NO3_dep_1985_2015",0.0186,0.0152,0.231,590,1
"Cl","mid","2_970","granodiorite",-0.00296,0.00218,0.183,590,1
"Cl","mid","2_913","granodiorite",-0.00257,0.00204,0.217,590,1
"Cl","mid","2_913","NH4_dep_1990_1999",0.0861,0.0706,0.23,590,1
"Cl","mid","2_823","N_dep_2000_2009",0.054,0.0427,0.214,590,1
"Cl","mid","2_823","granodiorite",-0.00282,0.00211,0.19,590,1
"Cl","mid","2_870","granodiorite",-0.00268,0.00207,0.204,590,1
"Cl","mid","2_870","NH4_dep_1985_2015",0.0989,0.0795,0.222,590,1
"Cl","mid","2_987","NO3_dep_1985_1989",0.0195,0.0161,0.235,590,1
"Cl","mid","2_987","granodiorite",-0.00285,0.00214,0.191,590,1
"Cl","mid","2_1003","NO3_dep_1990_1999",0.0151,0.0126,0.238,590,1
"Cl","mid","2_1003","granodiorite",-0.00288,0.00216,0.189,590,1
"Cl","mid","2_1045","SO4_dep_1985_2015",0.0129,0.0103,0.219,590,1
"Cl","mid","2_1045","granodiorite",-0.00249,0.00202,0.226,590,1
"Cl","mid","2_923","NO3_dep_2000_2009",-0.117,0.095,0.228,590,1
"Cl","mid","2_857","NO3_dep_1985_2015",-0.151,0.115,0.198,590,1
"Cl","mid","2_857","NH4_dep_1985_2015",0.882,0.632,0.171,590,1
"Cl","mid","2_1018","granodiorite",-0.00296,0.00217,0.181,590,1
"Cl","mid","2_798","N_dep_1990_1999",0.0375,0.0313,0.238,590,1
"Cl","mid","2_798","granodiorite",-0.00271,0.00209,0.204,590,1
"Cl","mid","2_892","granodiorite",-0.00247,0.00202,0.229,590,1
"Cl","mid","2_1018","NO3_dep_2000_2009",0.0212,0.0171,0.223,590,1
"Cl","mid","2_892","NH4_dep_1985_1989",0.129,0.105,0.227,590,1
"Cl","hi","2_1026","NO3_dep_2010_2014",0.316,0.117,0.0101,591,2
"Cl","hi","2_1051","SO4_dep_1985_1989",1.08,0.396,0.00958,591,2
"Cl","hi","2_745","N_dep_1985_2015",-0.421,0.106,0.000314,591,2
"Cl","hi","2_981","NO3_dep_1985_1989",0.547,0.215,0.0151,591,2
"Cl","hi","2_1057","SO4_dep_1985_1989",-0.096,0.0242,0.000321,591,2
"Cl","hi","2_1057","granodiorite",0.0165,0.00574,0.00653,591,2
"Cl","hi","2_1078","SO4_dep_2000_2009",-0.14,0.0355,0.000336,591,2
"Cl","hi","2_1078","granodiorite",0.0159,0.00569,0.00826,591,2
"Cl","hi","2_772","N_dep_1985_1989",-0.473,0.12,0.000336,591,2
"Cl","hi","2_772","granodiorite",0.018,0.00587,0.00402,591,2
"Cl","hi","2_902","NH4_dep_1990_1999",-4.44,1.4,0.00296,591,2
"Cl","hi","2_902","NO3_dep_1990_1999",0.655,0.237,0.00873,591,2
"Cl","hi","2_745","granodiorite",0.0195,0.00602,0.00253,591,2
"Cl","hi","2_1051","SO4_dep_1990_1999",-1.16,0.396,0.0059,591,2
"Cl","hi","2_981","SO4_dep_1990_1999",-0.372,0.118,0.00321,591,2
"Cl","hi","2_1026","SO4_dep_1990_1999",-0.259,0.071,0.000802,591,2
"Cl","lo","2_902","NH4_dep_1990_1999",-0.816,1.4,0.562,591,2
"Cl","lo","2_745","N_dep_1985_2015",0.0446,0.106,0.676,591,2
"Cl","lo","2_745","granodiorite",0.00336,0.00602,0.58,591,2
"Cl","lo","2_1057","SO4_dep_1985_1989",0.0112,0.0242,0.646,591,2
"Cl","lo","2_1057","granodiorite",0.0036,0.00574,0.535,591,2
"Cl","lo","2_1078","SO4_dep_2000_2009",0.0116,0.0355,0.745,591,2
"Cl","lo","2_1078","granodiorite",0.0039,0.00569,0.497,591,2
"Cl","lo","2_772","granodiorite",0.00335,0.00587,0.572,591,2
"Cl","lo","2_772","N_dep_1985_1989",0.0589,0.12,0.626,591,2
"Cl","lo","2_902","NO3_dep_1990_1999",0.166,0.237,0.487,591,2
"Cl","lo","2_1026","NO3_dep_2010_2014",0.0164,0.117,0.889,591,2
"Cl","lo","2_1026","SO4_dep_1990_1999",0.00665,0.071,0.926,591,2
"Cl","lo","2_1051","SO4_dep_1985_1989",0.0172,0.396,0.966,591,2
"Cl","lo","2_981","NO3_dep_1985_1989",0.155,0.215,0.476,591,2
"Cl","lo","2_1051","SO4_dep_1990_1999",-0.00107,0.396,0.998,591,2
"Cl","lo","2_981","SO4_dep_1990_1999",-0.0673,0.118,0.572,591,2
"Cl","mid","2_1057","SO4_dep_1985_1989",0.0103,0.00842,0.229,591,2
"Cl","mid","2_1057","granodiorite",-0.0025,0.00203,0.225,591,2
"Cl","mid","2_1078","SO4_dep_2000_2009",0.0158,0.0124,0.212,591,2
"Cl","mid","2_1078","granodiorite",-0.00246,0.00201,0.228,591,2
"Cl","mid","2_772","N_dep_1985_1989",0.0497,0.0414,0.238,591,2
"Cl","mid","2_772","granodiorite",-0.00264,0.00207,0.21,591,2
"Cl","mid","2_902","NH4_dep_1990_1999",0.641,0.487,0.196,591,2
"Cl","mid","2_902","NO3_dep_1990_1999",-0.1,0.0826,0.233,591,2
"Cl","mid","2_1026","NO3_dep_2010_2014",-0.041,0.041,0.324,591,2
"Cl","mid","2_1026","SO4_dep_1990_1999",0.031,0.0249,0.222,591,2
"Cl","mid","2_1051","SO4_dep_1985_1989",-0.131,0.138,0.348,591,2
"Cl","mid","2_1051","SO4_dep_1990_1999",0.138,0.138,0.323,591,2
"Cl","mid","2_745","N_dep_1985_2015",0.045,0.0366,0.227,591,2
"Cl","mid","2_745","granodiorite",-0.00281,0.00212,0.193,591,2
"Cl","mid","2_981","NO3_dep_1985_1989",-0.0876,0.0754,0.253,591,2
"Cl","mid","2_981","SO4_dep_1990_1999",0.0547,0.0415,0.196,591,2
"DO_top2m","hi","2_923","NO3_dep_2000_2009",-0.661,0.279,0.023,585,0
"DO_top2m","hi","2_923","NH4_dep_2000_2009",4.43,1.65,0.0109,585,0
"DO_top2m","hi","2_691","quartzmonzonite",0.0207,0.00959,0.0376,585,0
"DO_top2m","hi","2_691","Cl_dep_2000_2009",0.0284,0.014,0.0498,585,0
"DO_top2m","lo","2_923","NO3_dep_2000_2009",-0.012,0.279,0.966,585,0
"DO_top2m","lo","2_691","quartzmonzonite",0.0011,0.00959,0.909,585,0
"DO_top2m","lo","2_923","NH4_dep_2000_2009",-0.481,1.65,0.773,585,0
"DO_top2m","lo","2_691","Cl_dep_2000_2009",-0.0311,0.014,0.0323,585,0
"DO_top2m","mid","2_923","NH4_dep_2000_2009",-0.468,0.567,0.415,585,0
"DO_top2m","mid","2_691","quartzmonzonite",-0.00242,0.0032,0.454,585,0
"DO_top2m","mid","2_691","Cl_dep_2000_2009",0.000328,0.00483,0.946,585,0
"DO_top2m","mid","2_923","NO3_dep_2000_2009",0.0802,0.0962,0.41,585,0
"DO_top2m","hi","2_661","Cl_dep_1990_1999",0.022,0.0113,0.0594,586,1
"DO_top2m","hi","2_661","quartzmonzonite",0.0205,0.00963,0.0403,586,1
"DO_top2m","hi","2_920","NH4_dep_2000_2009",3.91,1.56,0.0163,586,1
"DO_top2m","hi","2_42","Depth_mean_m",0.171,0.0566,0.00461,586,1
"DO_top2m","hi","2_42","granodiorite",-0.0134,0.00594,0.0305,586,1
"DO_top2m","hi","2_759","NO3_dep_1985_2015",-0.639,0.28,0.0281,586,1
"DO_top2m","hi","2_759","N_dep_1985_1989",2.04,0.801,0.015,586,1
"DO_top2m","hi","2_857","NO3_dep_1985_2015",-0.809,0.337,0.0216,586,1
"DO_top2m","hi","2_857","NH4_dep_1985_2015",4.85,1.85,0.0128,586,1
"DO_top2m","hi","2_598","quartzmonzonite",0.0205,0.00962,0.0399,586,1
"DO_top2m","hi","2_598","Cl_dep_1985_2015",0.0255,0.0129,0.0556,586,1
"DO_top2m","hi","2_720","Cl_dep_2010_2014",0.0303,0.0158,0.0638,586,1
"DO_top2m","hi","2_720","quartzmonzonite",0.0206,0.00962,0.0393,586,1
"DO_top2m","hi","2_1081","SO4_dep_2000_2009",0.0629,0.0348,0.0786,586,1
"DO_top2m","hi","2_1081","quartzmonzonite",0.0197,0.00969,0.0496,586,1
"DO_top2m","hi","2_920","NO3_dep_1985_2015",-0.511,0.233,0.0349,586,1
"DO_top2m","lo","2_661","quartzmonzonite",0.00136,0.00963,0.888,586,1
"DO_top2m","lo","2_598","Cl_dep_1985_2015",-0.028,0.0129,0.0369,586,1
"DO_top2m","lo","2_42","Depth_mean_m",-0.106,0.0566,0.0692,586,1
"DO_top2m","lo","2_720","Cl_dep_2010_2014",-0.035,0.0158,0.0334,586,1
"DO_top2m","lo","2_759","N_dep_1985_1989",-0.131,0.801,0.871,586,1
"DO_top2m","lo","2_920","NO3_dep_1985_2015",0.0971,0.233,0.68,586,1
"DO_top2m","lo","2_920","NH4_dep_2000_2009",-1.19,1.56,0.449,586,1
"DO_top2m","lo","2_1081","quartzmonzonite",0.00262,0.00969,0.789,586,1
"DO_top2m","lo","2_42","granodiorite",0.00165,0.00594,0.783,586,1
"DO_top2m","lo","2_720","quartzmonzonite",0.00136,0.00962,0.888,586,1
"DO_top2m","lo","2_661","Cl_dep_1990_1999",-0.0241,0.0113,0.0395,586,1
"DO_top2m","lo","2_857","NH4_dep_1985_2015",-0.825,1.85,0.659,586,1
"DO_top2m","lo","2_1081","SO4_dep_2000_2009",-0.0782,0.0348,0.0305,586,1
"DO_top2m","lo","2_598","quartzmonzonite",0.00133,0.00962,0.89,586,1
"DO_top2m","lo","2_759","NO3_dep_1985_2015",-0.0332,0.28,0.906,586,1
"DO_top2m","lo","2_857","NO3_dep_1985_2015",0.0704,0.337,0.836,586,1
"DO_top2m","mid","2_661","quartzmonzonite",-0.00243,0.00321,0.455,586,1
"DO_top2m","mid","2_720","quartzmonzonite",-0.00244,0.00321,0.452,586,1
"DO_top2m","mid","2_598","Cl_dep_1985_2015",0.000292,0.00447,0.948,586,1
"DO_top2m","mid","2_661","Cl_dep_1990_1999",0.000257,0.00392,0.948,586,1
"DO_top2m","mid","2_598","quartzmonzonite",-0.00243,0.00321,0.454,586,1
"DO_top2m","mid","2_857","NO3_dep_1985_2015",0.0883,0.117,0.454,586,1
"DO_top2m","mid","2_1081","SO4_dep_2000_2009",0.00183,0.012,0.88,586,1
"DO_top2m","mid","2_920","NH4_dep_2000_2009",-0.325,0.535,0.548,586,1
"DO_top2m","mid","2_759","NO3_dep_1985_2015",0.0835,0.0986,0.403,586,1
"DO_top2m","mid","2_857","NH4_dep_1985_2015",-0.48,0.639,0.457,586,1
"DO_top2m","mid","2_42","Depth_mean_m",-0.00806,0.0198,0.686,586,1
"DO_top2m","mid","2_720","Cl_dep_2010_2014",0.000575,0.00552,0.918,586,1
"DO_top2m","mid","2_920","NO3_dep_1985_2015",0.0496,0.0808,0.543,586,1
"DO_top2m","mid","2_42","granodiorite",0.00147,0.00211,0.489,586,1
"DO_top2m","mid","2_1081","quartzmonzonite",-0.00248,0.00323,0.447,586,1
"DO_top2m","mid","2_759","N_dep_1985_1989",-0.237,0.282,0.405,586,1
"DO_top2m","hi","2_630","Cl_dep_1985_1989",0.0257,0.0134,0.0628,587,2
"DO_top2m","hi","2_936","quartzmonzonite",0.0187,0.00986,0.0651,587,2
"DO_top2m","hi","2_1045","SO4_dep_1985_2015",0.0801,0.0301,0.0113,587,2
"DO_top2m","hi","2_870","granodiorite",-0.0128,0.00598,0.0389,587,2
"DO_top2m","hi","2_901","NO3_dep_1985_1989",-0.753,0.352,0.0392,587,2
"DO_top2m","hi","2_1018","NO3_dep_2000_2009",0.131,0.0502,0.0132,587,2
