"varname","term","estimate","std.error","df","t.value","p.value","sigma","logLik","BIC","deviance","R2m","R2c","nfix","nparam","modname","modname2","modelformula","randompart","valuecol","var0","var1","var2","var3","varint1","varint2","varint3","nobs","AICc","modname3","AICcdiff"
"Chl","Watertemp",0.0026,0.021,112,0.1233,0.9,0.7502,-165.4,360.2,330.8,0.1128,0.3244,4,4,"Chl_TDN+TDP+Watertemp","vari1+vari2+vari3","value_formodel ~ TDN + TDP + Watertemp","~1 | park_site","value","","","","3","","","",136,339.1,"vari1vari2vari3",1.70000000000005
"Chl","(Intercept)",0.018,0.27,112,0.06582,0.95,0.7494,-165.4,360.3,330.8,0.1074,0.3243,4,4,"Chl_days_since_iceout+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ days_since_iceout + TDN + Watertemp","~1 | park_site","value","0","","","","","","",136,339.1,"vari1vari2vari3",1.70000000000005
"Chl","TDN",8,3,112,2.695,0.0081,0.7494,-165.4,360.3,330.8,0.1074,0.3243,4,4,"Chl_days_since_iceout+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ days_since_iceout + TDN + Watertemp","~1 | park_site","value","","1","","","","","",136,339.1,"vari1vari2vari3",1.70000000000005
"Chl","days_since_iceout",0.0018,0.0028,112,0.6391,0.52,0.7494,-165.4,360.3,330.8,0.1074,0.3243,4,4,"Chl_days_since_iceout+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ days_since_iceout + TDN + Watertemp","~1 | park_site","value","","","2","","","","",136,339.1,"vari1vari2vari3",1.70000000000005
"Chl","Watertemp",8e-04,0.021,112,0.03719,0.97,0.7494,-165.4,360.3,330.8,0.1074,0.3243,4,4,"Chl_days_since_iceout+TDN+Watertemp","vari1+vari2+vari3","value_formodel ~ days_since_iceout + TDN + Watertemp","~1 | park_site","value","","","","3","","","",136,339.1,"vari1vari2vari3",1.70000000000005
"Cl","(Intercept)",0.19,0.065,154,2.989,0.0033,0.1616,49.78,-73.71,-99.56,0.2884,0.6029,3,3,"Cl_SWE_May_snotel+Cl_dep_2000_2009","vari1+vari2","value_formodel ~ SWE_May_snotel + Cl_dep_2000_2009","~1 | park_site","value","0","","","","","","",176,-93.42,"vari1vari2",0
"Cl","Cl_dep_2000_2009",0.015,0.0037,19,3.9,0.00096,0.1616,49.78,-73.71,-99.56,0.2884,0.6029,3,3,"Cl_SWE_May_snotel+Cl_dep_2000_2009","vari1+vari2","value_formodel ~ SWE_May_snotel + Cl_dep_2000_2009","~1 | park_site","value","","1","","","","","",176,-93.42,"vari1vari2",0
"Cl","SWE",-0.00044,0.00022,154,-2.029,0.044,0.1616,49.78,-73.71,-99.56,0.2884,0.6029,3,3,"Cl_SWE_May_snotel+Cl_dep_2000_2009","vari1+vari2","value_formodel ~ SWE_May_snotel + Cl_dep_2000_2009","~1 | park_site","value","","","2","","","","",176,-93.42,"vari1vari2",0
"Cl","(Intercept)",0.35,0.13,154,2.616,0.0098,0.1616,50.66,-70.3,-101.3,0.321,0.605,4,4,"Cl_SWE_May_snotel+Cl_dep_2000_2009+hydro","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Cl_dep_2000_2009 + hydro","~1 | park_site","value","0","","","","","","",176,-93.09,"vari1vari2vari3",0.329999999999998
"Cl","hydro",-0.068,0.05,18,-1.34,0.2,0.1616,50.66,-70.3,-101.3,0.321,0.605,4,4,"Cl_SWE_May_snotel+Cl_dep_2000_2009+hydro","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Cl_dep_2000_2009 + hydro","~1 | park_site","value","","","2","","","","",176,-93.09,"vari1vari2vari3",0.329999999999998
"Cl","SWE",-0.00043,0.00022,154,-1.979,0.05,0.1616,50.66,-70.3,-101.3,0.321,0.605,4,4,"Cl_SWE_May_snotel+Cl_dep_2000_2009+hydro","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Cl_dep_2000_2009 + hydro","~1 | park_site","value","","","","3","","","",176,-93.09,"vari1vari2vari3",0.329999999999998
"Cl","Cl_dep_2000_2009",0.014,0.0037,18,3.668,0.0018,0.1616,50.66,-70.3,-101.3,0.321,0.605,4,4,"Cl_SWE_May_snotel+Cl_dep_2000_2009+hydro","vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Cl_dep_2000_2009 + hydro","~1 | park_site","value","","1","","","","","",176,-93.09,"vari1vari2vari3",0.329999999999998
"Cl","(Intercept)",0.27,0.097,154,2.787,0.006,0.1634,49.32,-72.79,-98.64,0.2959,0.5788,3,3,"Cl_ice_out_doy+Cl_dep_2000_2009","vari1+vari2","value_formodel ~ ice_out_doy + Cl_dep_2000_2009","~1 | park_site","value","0","","","","","","",176,-92.5,"vari1vari2",0.920000000000002
"Cl","Cl_dep_2000_2009",0.015,0.0035,19,4.23,0.00045,0.1634,49.32,-72.79,-98.64,0.2959,0.5788,3,3,"Cl_ice_out_doy+Cl_dep_2000_2009","vari1+vari2","value_formodel ~ ice_out_doy + Cl_dep_2000_2009","~1 | park_site","value","","1","","","","","",176,-92.5,"vari1vari2",0.920000000000002
"Cl","iceout_doy",-0.00079,0.00044,154,-1.793,0.075,0.1634,49.32,-72.79,-98.64,0.2959,0.5788,3,3,"Cl_ice_out_doy+Cl_dep_2000_2009","vari1+vari2","value_formodel ~ ice_out_doy + Cl_dep_2000_2009","~1 | park_site","value","","","2","","","","",176,-92.5,"vari1vari2",0.920000000000002
"Cl","(Intercept)",0.43,0.15,154,2.944,0.0037,0.1634,50.3,-69.57,-100.6,0.3296,0.5817,4,4,"Cl_ice_out_doy+Cl_dep_2000_2009+hydro","vari1+vari2+vari3","value_formodel ~ ice_out_doy + Cl_dep_2000_2009 + hydro","~1 | park_site","value","0","","","","","","",176,-92.36,"vari1vari2vari3",1.06
"Cl","hydro",-0.067,0.047,18,-1.412,0.17,0.1634,50.3,-69.57,-100.6,0.3296,0.5817,4,4,"Cl_ice_out_doy+Cl_dep_2000_2009+hydro","vari1+vari2+vari3","value_formodel ~ ice_out_doy + Cl_dep_2000_2009 + hydro","~1 | park_site","value","","","2","","","","",176,-92.36,"vari1vari2vari3",1.06
"Cl","iceout_doy",-0.00079,0.00044,154,-1.788,0.076,0.1634,50.3,-69.57,-100.6,0.3296,0.5817,4,4,"Cl_ice_out_doy+Cl_dep_2000_2009+hydro","vari1+vari2+vari3","value_formodel ~ ice_out_doy + Cl_dep_2000_2009 + hydro","~1 | park_site","value","","","","3","","","",176,-92.36,"vari1vari2vari3",1.06
"Cl","Cl_dep_2000_2009",0.014,0.0035,18,3.999,0.00084,0.1634,50.3,-69.57,-100.6,0.3296,0.5817,4,4,"Cl_ice_out_doy+Cl_dep_2000_2009+hydro","vari1+vari2+vari3","value_formodel ~ ice_out_doy + Cl_dep_2000_2009 + hydro","~1 | park_site","value","","1","","","","","",176,-92.36,"vari1vari2vari3",1.06
"Clad","(Intercept)",1400,2700,101,0.5068,0.61,8332,-1306,2641,2612,0.02419,0.02419,4,4,"Clad_Watertemp+Chl+Ca","vari1+vari2+vari3","value_formodel ~ Watertemp + Chl + Ca","~1 | park_site","value","0","","","","","","",125,2620,"vari1vari2vari3",0
"Clad","Chl",76,830,101,0.09109,0.93,8332,-1306,2641,2612,0.02419,0.02419,4,4,"Clad_Watertemp+Chl+Ca","vari1+vari2+vari3","value_formodel ~ Watertemp + Chl + Ca","~1 | park_site","value","","","","3","","","",125,2620,"vari1vari2vari3",0
"Clad","Ca",-280,210,101,-1.314,0.19,8332,-1306,2641,2612,0.02419,0.02419,4,4,"Clad_Watertemp+Chl+Ca","vari1+vari2+vari3","value_formodel ~ Watertemp + Chl + Ca","~1 | park_site","value","","1","","","","","",125,2620,"vari1vari2vari3",0
"Clad","Watertemp",190,180,101,1.089,0.28,8332,-1306,2641,2612,0.02419,0.02419,4,4,"Clad_Watertemp+Chl+Ca","vari1+vari2+vari3","value_formodel ~ Watertemp + Chl + Ca","~1 | park_site","value","","","2","","","","",125,2620,"vari1vari2vari3",0
"Cond","(Intercept)",88,38,138,2.351,0.02,72.96,-922.1,1864,1844,0.009203,0.1527,2,2,"Cond_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","0","","","","","","",160,1848,"vari1",0
"Cond","iceout_doy",-0.24,0.2,138,-1.248,0.21,72.96,-922.1,1864,1844,0.009203,0.1527,2,2,"Cond_ice_out_doy","vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","","1","","","","","",160,1848,"vari1",0
"Cond","(Intercept)",49,12,139,4.001,1e-04,73.12,-922.5,1865,1845,0.007388,0.1537,2,2,"Cond_Volume_m3","vari1","value_formodel ~ Volume_m3","~1 | park_site","value","0","","","","","","",160,1849,"vari1",1
"Cond","volume",-7.8e-05,1e-04,19,-0.7701,0.45,73.12,-922.5,1865,1845,0.007388,0.1537,2,2,"Cond_Volume_m3","vari1","value_formodel ~ Volume_m3","~1 | park_site","value","","1","","","","","",160,1849,"vari1",1
"Cond","(Intercept)",51,17,138,3.065,0.0026,73.25,-922.7,1866,1845,0.002317,0.1465,2,2,"Cond_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","0","","","","","","",160,1849,"vari1",1
"Cond","SWE",-0.054,0.092,138,-0.5865,0.56,73.25,-922.7,1866,1845,0.002317,0.1465,2,2,"Cond_SWE_May_snotel","vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","","1","","","","","",160,1849,"vari1",1
